RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
9409,1,1-12,1-8,
8219,2,1-28,1-4,
8219,2,1-28,5-8,
7629,3,1-44,1-4,
7729,3,1-44,5-8,
7839,4,1-64,1-4,
7939,4,1-64,5-8,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
6649,1-3,23-56,1-2,1
6759,1-3,1-22,1-2,1
6769,1-3,1-22,1-2,2
6679,1-3,23-56,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
8109,1,4,7,
8109,1,6,7,
8109,1,4,4,
8109,1,4,2,
8109,1,6,4,
8109,1,8,4,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
,,,,
