RULES,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
1000,1,1-12,1-8,
1001,2,1-28,1-4,
1001,2,1-28,5-8,
1003,3,1-44,1-4,
1003,3,1-44,5-8,
1005,4,1-64,1-4,
1005,4,1-64,5-8,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
1006,1-3,23-56,1-2,1
1007,1-3,1-22,1-2,1
1007,1-3,1-22,1-2,2
1006,1-3,23-56,1-2,2
,,,,
EXCEPTIONS,,,,
,,,,
BARREL,,,,
,,,,
TEMPLATE ID ,LAYER,LADDER,MODULE,
1000,2,24,4,
1000,2,22,4,
1000,2,12,4,
1000,2,12,3,
1000,2,12,2,
1000,2,8,5,
1000,2,8,6,
1000,2,8,7,
,,,,
ENDCAP,,,,
,,,,
TEMPLATE ID ,DISK,BLADE,SIDE,PANEL
